SKU,Name, MSRP ,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGT1850083,WatchGuard Total Security Suite for Firebox T185 - 3-Year," $5,710.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?tKhMsK729i8=gCBVswBAQaI82qb9QVDjOw==pMi6R5nPZPSelxedGNQIOb78quHGAA==
NWG-WGT1850085,WatchGuard Total Security Suite for Firebox T185 - 5-Year," $10,375.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?i94oEVVKjKg=lo81lKQFn7od1+z4BQ5reQ==5N4+10DvfJ3oBoDVc+6e5mvvDZh5wg==
NWG-WGT18501601,WatchGuard  Standard Support for Firebox T185 High Availability - 1-Year, $510.00 ,Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?z0oNz6dUarg=sSKqsxpRdZnIyzQc14hHng==R63zSMQnM4Jx4zzkFvXF3vZZc5k13NI=
NWG-WGT18501603,WatchGuard  Standard Support for Firebox T185 High Availability - 3-Year," $1,155.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?RapMXRmSsd8=AHnReaXQ9uO/jMolLKvM3A==kQ+rugl3UufjrS1AcvedI6bxGVP+8tk=
NWG-WGT18501605,WatchGuard  Standard Support for Firebox T185 High Availability - 5-Year," $2,320.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?LwAgbvWHlaE=M9GBLGMCUbHTzQHKRISWow==mGXu8LDttsWK2C7hhZmb6L0sfuntH10=
NWG-WGT1850203,Trade Up to WatchGuard Basic Security Suite for Firebox T185 - 3-Year," $3,180.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?T3Ib4wsE1d4=A+dOGFBFNYaSqHNfZ67DmA==7/kwEEBqAd9r+yKSqXF8Bf5edvPn8Q==
NWG-WGT1850205,Trade Up to WatchGuard Basic Security Suite for Firebox T185 - 5-Year," $5,770.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?Sj9fYg8lDEY=YZHUJDijxn8IwLHOv7oncA==QedTvwr0rCOyGt2MsbZMIfHCRg6yVw==
NWG-WGT1850211,Trade Up to WatchGuard Total Security Suite for Firebox T185 - 1-Year," $2,870.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?iW6SyofjZTs=TLaqz5FO18fbJ8a7ejKLPw==W6AVBYpW8HVVsFvlcAFxGO6oxW88zA==
NWG-WGT1850213,Trade Up to WatchGuard Total Security Suite for Firebox T185 - 3-Year," $5,400.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?ajTdyqeuKy8=SGm9moaQYoyQ+u5UnIaTjQ==Emfwar54EWcBXGJUn1U4PebbG1ULuQ==
NWG-WGT1850215,Trade Up to WatchGuard Total Security Suite for Firebox T185 - 5-Year," $9,830.00 ",Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?FfO/PX+hyz0=IvDbdA9fQ+T2/B8YsS1Mng==80UP8mD8uEgbaA2CCdCI+5zrstzh1A==
NWG-WGT26000,WatchGuard Firebox T25-W Appliance Only, $415.00 ,Physical,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?Mt6+n+1vrzc=STF9BMD3mOECNm+oPeNxUA==wKevsv3Ya7YGKg1zHbwOgwn+UaI=
NWG-WGT260061,WatchGuard Standard Support for Firebox T25-W - 1-Year, $280.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?P4U6Ut4DfQI=WnnJYca/bIUgph9bstIeuw==VSHThiEiCZVLxVKy1Sf0NI5djlBt
NWG-WGT260063,WatchGuard Standard Support for Firebox T25-W - 3-Year, $465.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?BDkIiYfKMXo=nliamk+Z7NG1glS/C775KQ==Gn9evGQ/C0el3DD7IR652lZj30Rx
NWG-WGT260065,WatchGuard Standard Support for Firebox T25-W - 5-Year, $730.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?CALoT+LYyjw=JzzlXZ0FRUtzz3GVe/x1rg==aaXef0YtWgmdk372+4MYkY0tJl/C
NWG-WGT260071,WatchGuard Basic Security Suite for Firebox T25-W - 1-Year, $423.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?yjBy27V4xQg=lQQFnLuLT6g5Qrxvl43qrQ==XPNLmEQeYKYD6B44c/iqSpX1D3AX
