STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGCLG263,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox Cloud Large,https://www.leadersystems.com.au/Images/NWG-WGCLG263.jpg,Watchguard,WGCLG263,5239.0000,6648.0000
NWG-WGCXL173,Cloud & Server Security,WatchGuard APT Blocker 3-yr for Firebox Cloud XLarge,https://www.leadersystems.com.au/Images/NWG-WGCXL173.jpg,Watchguard,WGCXL173,10863.0000,13782.0000
NWG-WGVSM201,Subscriptions & Licensing,WatchGuard Standard Support Renewal 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM201.jpg,Watchguard,WGVSM201,302.0000,384.0000
NWG-WGVSM173,Cloud & Server Security,WatchGuard APT Blocker 3-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM173.jpg,Watchguard,WGVSM173,1090.0000,1383.0000
NWG-WGVME263,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for FireboxV Medium,https://www.leadersystems.com.au/Images/NWG-WGVME263.jpg,Watchguard,WGVME263,2453.0000,3112.0000
NWG-WGVME121,Subscriptions & Licensing,WatchGuard Gateway AntiVirus 1-yr for FireboxV Medium,https://www.leadersystems.com.au/Images/NWG-WGVME121.jpg,Watchguard,WGVME121,1065.0000,1352.0000
NWG-WGT80261,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox T80,https://www.leadersystems.com.au/Images/NWG-WGT80261.jpg,Watchguard,WGT80261,617.0000,784.0000
NWG-WGTIS30503,Identity & Access Security,WatchGuard AuthPoint Total Identity Security - 3 Year - 501 to 1000 users,https://www.leadersystems.com.au/Images/NWG-WGTIS30503.jpg,Watchguard,WGTIS30503,77.0000,99.0000
NWG-WG9011,Watchguard Accessories,WatchGuard Authpoint Hardware Token (10 UNITS BOX),https://www.leadersystems.com.au/Images/NWG-WG9011.jpg,Watchguard,WG9011,265.0000,346.0000
NWG-WGEDR30701,Endpoint & Mobile Protection,WatchGuard EDR - 1 Year - 5001+ licenses - License Per User,https://www.leadersystems.com.au/Images/NWG-WGEDR30701.jpg,Watchguard,WGEDR30701,30.0000,38.0000
NWG-WGAEPDR30301,Endpoint & Mobile Protection,WatchGuard Advanced EPDR - 1 Year - 101 to 250 licenses,https://www.leadersystems.com.au/Images/NWG-WGAEPDR30301.jpg,Watchguard,WGAEPDR30301,84.0000,107.0000
NWG-WGAEPDR30401,Endpoint & Mobile Protection,WatchGuard Advanced EPDR - 1 Year - 251 to 500 licenses,https://www.leadersystems.com.au/Images/NWG-WGAEPDR30401.jpg,Watchguard,WGAEPDR30401,75.0000,96.0000
NWG-WGAEPDR30403,Endpoint & Mobile Protection,WatchGuard Advanced EPDR - 3 Year - 251 to 500 licenses,https://www.leadersystems.com.au/Images/NWG-WGAEPDR30403.jpg,Watchguard,WGAEPDR30403,180.0000,229.0000
NWG-WGAEPDR30701,Endpoint & Mobile Protection,WatchGuard Advanced EPDR - 1 Year - 5001+ licenses,https://www.leadersystems.com.au/Images/NWG-WGAEPDR30701.jpg,Watchguard,WGAEPDR30701,48.0000,62.0000
NWG-WGMDR30501,Managed Detection & Response (MDR),WatchGuard Core MDR - 1 Year - 501 to 1000 licenses,https://www.leadersystems.com.au/Images/NWG-WGMDR30501.jpg,Watchguard,WGMDR30501,53.0000,63.0000
NWG-WGCME101,Cloud & Server Security,WatchGuard WebBlocker 1-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME101.jpg,Watchguard,WGCME101,1065.0000,1352.0000
